Estimate,Std Error,t-stat,P-Value
8822.1162,34418.5945,-0.8224,0.4109
-28307.1263,37678.5512,1.8593,0.0632
70054.8004,34487.7225,0.9088,0.3636
31342.7587,34446.5793,0.3890,0.6973
13401.3729,34420.4068,1.3088,0.1908
45049.1690,34405.4462,-1.0186,0.3086
-35043.7397,34460.1043,-0.7335,0.4634
-25276.4738,34461.8673,0.1325,0.8946
4567.3565,36225.1455,-0.3797,0.7042
-13753.8734,34447.7237,-1.1181,0.2637
-38515.9417,34607.8773,-0.8934,0.3718
-30919.6875,34459.9900,-0.1168,0.9070
-4024.9868,34467.0659,0.8882,0.3746
30613.3642,35209.3130,1.3244,0.1856
46629.5940,36251.3530,1.5174,0.1293
55009.0715,34450.7657,0.3963,0.6919
13652.1565,34415.3357,0.2053,0.8373
7066.3102,34456.0849,0.1966,0.8442
6774.3932,34454.5357,1.5488,0.1216
53362.3975,34806.0486,0.0558,0.9555
1942.9867,34511.8364,0.5993,0.5490
20683.7156,inf,0.0000,1.0000
0.0000,34427.4324,-0.4453,0.6562
-15330.0578,34633.1286,0.4102,0.6817
14206.2317,34450.5848,-0.2551,0.7987
-8788.0854,34418.5945,-0.1403,0.8884
-4830.3263,34459.0951,-0.4119,0.6805
-14194.2518,34462.7128,0.4027,0.6872
13879.7683,34408.5016,-0.4745,0.6352
-16326.0745,34430.0960,-0.4194,0.6750
-14440.7761,34448.0081,0.7302,0.4654
25154.3873,34428.4623,1.3767,0.1688
47399.1236,inf,0.0000,1.0000
0.0000,34450.9818,-0.2205,0.8255
-7596.3460,34459.6491,0.0275,0.9781
946.8676,34430.1060,-0.4269,0.6695
-14697.5352,inf,0.0000,1.0000
0.0000,34418.8517,-0.0417,0.9667
-1435.7747,34525.4122,-0.9985,0.3182
-34474.4238,34408.8927,0.3136,0.7539
10790.7829,inf,0.0000,1.0000
0.0000,34884.5767,-0.2384,0.8116
-8317.1318,34462.0139,-0.8756,0.3814
-30175.0902,34454.2205,0.1441,0.8855
4964.1264,40443.3927,-1.2293,0.2191
